Ticker,Sector,Industry,MarketCap,PE,ForwardPE,PB,PS,PEG,EPS,RevenueGrowth,EarningsGrowth,ROE,ROA,GrossMargin,OperatingMargin,NetMargin,DebtEquity,CurrentRatio,DivYield,Beta,ShortFloat,InstOwnership
MMM,Industrials,Conglomerates,74370039808.0,23.533333,15.022906,15.924213,2.981002,,6.0,0.02,-0.199,0.75501,0.075840004,0.39915,0.12408,0.13027,276.638,1.708,2.21,1.131,0.0182,0.76306
AOS,Industrials,Specialty Industrial Machinery,8863000576.0,16.646753,14.753275,4.7789125,2.3139784,,3.85,0.0,0.191,0.29197,0.14257,0.38833,0.17951,0.1426,10.974,1.497,2.18,1.304,0.0633,1.07986
ABT,Healthcare,Medical Devices,183256039424.0,28.349463,16.898258,3.5132253,4.134092,,3.72,0.044,-0.809,0.12961,0.066300005,0.56664,0.21616,0.14718,26.787,1.576,2.39,0.744,0.0105,0.82066
ABBV,Healthcare,Drug Manufacturers - General,362598432768.0,86.163864,12.724686,-110.84865,5.9286857,,2.38,0.1,,62.25,0.09807,0.71620005,0.34108,0.0691,,0.671,3.37,0.334,0.0123000005,0.76411
ACN,Technology,Information Technology Services,124021579776.0,16.5281,13.40864,3.939758,1.7198865,,12.1,0.083,0.04,0.24763,0.11163,0.32026002,0.13819,0.10606,25.469,1.336,3.26,1.251,0.0276,0.82922
ADBE,Technology,Software - Application,101865570304.0,14.452533,9.415324,8.89905,4.16577,,17.17,0.12,0.111,0.58774,0.18775,0.89396006,0.37793,0.29477,58.217,0.912,,1.532,0.039100002,0.87821996
AMD,Technology,Semiconductors,328250621952.0,76.84351,18.736355,5.2090554,9.476331,,2.62,0.341,2.171,0.07082,0.032,0.52493,0.17059,0.12515001,6.359,2.85,,2.022,0.021300001,0.72299004
AES,Utilities,Utilities - Diversified,10047080448.0,10.763359,5.9095955,2.4715164,0.8213096,,1.31,0.047,-0.317,0.01954,0.02544,0.18400998,0.16575001,0.07439,259.393,0.766,4.99,0.941,0.028900001,0.88138
AFL,Financial Services,Insurance - Life,54848761856.0,15.5747795,13.668839,1.8682615,3.1955698,,6.82,-0.099,-0.229,0.13118,0.025390001,0.46644002,0.33558998,0.21242,42.682,1.07,2.3,0.65,0.0161,0.59731996
A,Healthcare,Diagnostics & Research,31480053760.0,24.569536,16.965973,4.554755,4.4557757,,4.53,0.07,-0.036,0.19945998,0.08533,0.523,0.22859,0.18259001,51.39,2.066,0.92,1.312,0.0183,0.93234
APD,Basic Materials,Specialty Chemicals,62568562688.0,,20.021717,4.0598993,5.125084,,-1.46,0.058,0.097,-0.01667,-0.01105,0.31628,0.24280001,-0.02733,101.991,1.459,2.58,0.864,0.020399999,0.93614995
ABNB,Consumer Cyclical,Travel Services,77049536512.0,31.811882,22.123795,9.436124,6.294382,,4.04,0.12,-0.237,0.30233,0.07367,0.82959,0.096829996,0.20513001,27.698,1.377,,1.163,0.0367,0.87107
AKAM,Technology,Software - Infrastructure,16007238656.0,35.986973,14.539636,3.2120948,3.8038433,,3.07,0.074,-0.374,0.091730006,0.035940003,0.58949,0.13822,0.10742,114.024,2.363,,0.704,0.1337,1.02515
ALB,Basic Materials,Specialty Chemicals,18466658304.0,,17.903618,2.52746,3.590826,,-5.77,0.159,,-0.04656,0.003,0.13097,0.02263,-0.09929,33.954,2.229,1.03,1.476,0.1269,0.9479
ARE,Real Estate,REIT - Office,8212704256.0,,-592.375,0.5224169,2.7222104,,-8.44,-0.052,,-0.05856,0.0109399995,0.69418997,0.2274,-0.47384998,66.615,1.617,8.61,1.319,0.0602,0.98272
ALGN,Healthcare,Medical Instruments & Supplies,12425664512.0,30.651325,14.08666,3.0522215,3.0794983,,5.65,0.053,0.356,0.103870004,0.06938,0.69805,0.22384001,0.1017,2.826,1.363,,1.823,0.0431,0.96163005
ALLE,Industrials,Security & Protection Services,12274871296.0,19.151882,15.028246,5.9313993,3.017941,,7.44,0.093,0.033,0.36084,0.11238,0.45196998,0.21409,0.15829,104.0,1.842,1.46,1.008,0.0335,0.97382003
